Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\PCB_Project_1\Project Outputs for PCB_Project\Pick Place for EDR_PCB.csv

========================================================================================================================
File Design Information:

Date:       19/05/25
Time:       13:23
Revision:   12bdfad16ad5b26e9d18ee904b9c8042a98f513f
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"U8","INA241B1IDDFR","TopLayer","SOT23_DDF_TEX","6.3500","66.0400","270","-5-V to 110-V, bidirectional, high-precision current sense amplifier with enhanced PWM rejection 8-SOT-23-THIN -40 to..."
"U7","INA241B1IDDFR","TopLayer","SOT23_DDF_TEX","6.0550","73.6057","270","-5-V to 110-V, bidirectional, high-precision current sense amplifier with enhanced PWM rejection 8-SOT-23-THIN -40 to..."
"U6","AM26LS32ACDR","TopLayer","D0016A_M","78.4860","4.8260","270","Quadruple Differential Line Receiver, 0 TX / 4 RX, 0 to 70 degC, 16-Pin SOIC (D), Green (RoHS & no Sb/Br)"
"U5","TXS0104EPWR","TopLayer","SOP65P640X120-14N","66.8020","11.4300","90","Integrated Circuit"
"U4","LT1763CS8-5#TRPBF","TopLayer","LT-S8-8_N","47.4980","9.1440","90","500 mA, Low Noise, LDO Micropower Regulator, 1.8 to 20 V Vin, 5 V Vout, 8-pin SOIC (S8-8), -40 to 125 degC, Pb-Free, Tape and Reel"
"U3","TLV76133DCYR","TopLayer","FP-DCY0004A-MFG","55.9010","69.2150","0","TLV76133DCYR 1A 16V high-PSRR linear voltage regulator 4-SOT-223 -40 to 125"
"U2","TPS54302DDCR","TopLayer","FP-DDC0006A-MFG","18.1140","11.9990","0","IC REG BUCK ADJ 3A TSOT23-6"
"U1","TMS320F28069PFPS","TopLayer","PFP0080T_L","64.1097","33.9718","180","Piccolo Microcontroller, High-Efficiency 32-Bit CPU, 100 KB, 90 MHz, FPU, VCU, 17 Ch PWM, 40 GPIO, 3.3 V, -40 to 125 degC, 80-Pin HTQFP (PFP), Green (RoHS & no Sb/Br)"
"SW1","3-1825910-1","TopLayer","FP-3-1825910-1-MFG","77.4700","48.2600","0","SWITCH TACTILE SPST-NO 0.05A 24V"
"R9","1K","TopLayer","RESC2013X60X35ML10T20","38.1508","70.9676","180","Chip Resistor, 1 KOhm, +/- 1%, 125 mW, -55 to 155 degC, 0805 (2012 Metric), RoHS, Tape and Reel"
"R34","ERJ8ENF33R0V","TopLayer","RESC3216X70X50LL05T20","18.4150","53.9750","0",""
"R33","WSL1206R1000FEA","TopLayer","RESC3216X89X51LL25T25","26.0650","27.3050","180",""
"R32","RC1206FR-071KL","TopLayer","RESC3116X65X40ML10T20","18.4150","34.9250","0","Chip Resistor, 1 KOhm, +/- 1%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric), RoHS, Tape and Reel"
"R31","ERJ-8RQFR22V","TopLayer","RESC3216X70X50LL05T20","18.5420","29.9720","180",""
"R30","ERJ8ENF33R0V","TopLayer","RESC3216X70X50LL05T20","18.4150","48.2600","0",""
"R29","WSL1206R1000FEA","TopLayer","RESC3216X89X51LL25T25","24.1300","41.6743","0",""
"R28","RC1206FR-071KL","TopLayer","RESC3116X65X40ML10T20","18.4150","40.0050","0","Chip Resistor, 1 KOhm, +/- 1%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric), RoHS, Tape and Reel"
"R27","120R","TopLayer","FP-CRCW1206-e3-MFG","76.2000","12.1920","0","RES Thick Film, 120O, 1%, 0.25W, 100ppm/°C, 1206"
"R25","120R","TopLayer","FP-CRCW1206-e3-MFG","81.7870","12.1920","180","RES Thick Film, 120O, 1%, 0.25W, 100ppm/°C, 1206"
"R24","CRCW120611K0FKEA","TopLayer","FP-CRCW1206-e3-IPC_A","25.0190","4.0640","0","RES Thick Film, 11kO, 1%, 0.25W, 100ppm/°C, 1206"
"R23","CRCW1206100KFKEA","TopLayer","RESC3216X60X45NL10T20","24.8920","7.4930","0",""
"R22","MCR100JZHFSR062","TopLayer","FP-MCR100-IPC_C","17.7800","65.4050","90","Thick Film Chip Resistor, 2512, 0.062O, 1%, 1W, 200V"
"R21","MCR100JZHFSR062","TopLayer","FP-MCR100-IPC_C","24.7650","65.4050","90","Thick Film Chip Resistor, 2512, 0.062O, 1%, 1W, 200V"
"R20","10K","TopLayer","RESC2013X60X35NL10T20","71.3740","16.6480","270","Chip Resistor, 10 KOhm, +/- 1%, 0.125 W, -55 to 155 degC, 0805 (2012 Metric), RoHS, Tape and Reel"
"R19","CRCW08055K10FKEA","TopLayer","FP-CRCW0805-e3-MFG","31.1150","60.3250","0","RES Thick Film, 5.1kO, 1%, 0.125W, 100ppm/°C, 0805"
"R18","CRCW06032K20FKEAHP","TopLayer","FP-CRCW0603-HPe3-IPC_A","76.7080","54.9290","90","RES Thick Film, 2.2kO, 1%, 0.33W, 100ppm/°C, 0603"
"R17","0.51R","TopLayer","FP-CSRN2512-MFG","35.4838","25.4000","180","Res Thick Film 2512 0.51O 1% 2W ±200ppm/°C Molded SMD Plastic T/R"
"R16","ERJ-3GEYJ105V","TopLayer","RESC1608X55X30NL15T15","69.5090","50.5943","180",""
"R15","0.51R","TopLayer","FP-CSRN2512-MFG","48.6918","53.0098","315","Res Thick Film 2512 0.51O 1% 2W ±200ppm/°C Molded SMD Plastic T/R"
"R14","100k","TopLayer","FP-RC0402-0_4-IPC_A","63.7540","46.4526","270","RES 100K OHM 5% 1/16W 0402"
"R13","100k","TopLayer","FP-RC0402-0_4-IPC_A","73.9140","35.8140","180","RES 100K OHM 5% 1/16W 0402"
"R11","100k","TopLayer","FP-RC0402-0_4-IPC_A","65.2780","43.6880","270","RES 100K OHM 5% 1/16W 0402"
"R10","100k","TopLayer","FP-RC0402-0_4-IPC_A","78.7400","37.5920","180","RES 100K OHM 5% 1/16W 0402"
"R8","100k","TopLayer","FP-RC0402-0_4-IPC_A","66.0400","46.4820","270","RES 100K OHM 5% 1/16W 0402"
"R7","100k","TopLayer","FP-RC0402-0_4-IPC_A","74.7054","37.8460","180","RES 100K OHM 5% 1/16W 0402"
"R6","100k","TopLayer","FP-RC0402-0_4-IPC_A","67.3100","43.6880","270","RES 100K OHM 5% 1/16W 0402"
"R5","100k","TopLayer","FP-RC0402-0_4-IPC_A","78.7400","39.8780","180","RES 100K OHM 5% 1/16W 0402"
"R4","100k","TopLayer","FP-RC0402-0_4-IPC_A","68.0720","46.4820","270","RES 100K OHM 5% 1/16W 0402"
"R3","100k","TopLayer","FP-RC0402-0_4-IPC_A","74.9300","40.8940","180","RES 100K OHM 5% 1/16W 0402"
"R2","100k","TopLayer","FP-RC0402-0_4-IPC_A","69.3420","43.7174","270","RES 100K OHM 5% 1/16W 0402"
"R1","100k","TopLayer","FP-RC0402-0_4-IPC_A","74.9594","42.9260","180","RES 100K OHM 5% 1/16W 0402"
"L1","IHLP2525EZER100M01","TopLayer","FP-IHLP-2525EZ-FP_2_413x3-MFG","26.0350","16.1290","270","Commercial Inductors, High Saturation Series 10uH 4.5A 71.3mO 20%"
"J3","691709710302","TopLayer","691709710302","8.9250","13.5890","270",""
"J2","1604490000","TopLayer","SL_3_50_180G_04","63.8732","84.7344","0","OMNIMATE Signal - series BL/SL 3.50"
"J1","22-28-4060","TopLayer","FP-22-28-4060-MFG","45.3390","22.8600","270","CONN HEADER VERT 6POS 2.54MM"
"IC1","TB67H400AHG","TopLayer","TO100P465X2930X1987-25P","36.7350","53.5150","270","Integrated Circuit"
"FB2","BLM15PD600SN1D","TopLayer","FP-BLM15-0_05-d0_7-IPC_B","55.2450","17.7800","270","Chip Ferrite Bead, 0402, 60O @ 100MHz, 0.06O, 25%, 1.7A"
"FB1","BKP1005HS221-T","TopLayer","BEADC1005X55N","58.4200","17.7800","90","Ferrite Bead"
"C42","GRM188R60J106ME47D","TopLayer","FP-GRM188-0_1-e0_2_0_55-IPC_A","41.4020","27.6860","270","Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 10uF, X5R, 15%, 20%, 6.3V"
"C41","GRM188R60J106ME47D","TopLayer","FP-GRM188-0_1-e0_2_0_55-IPC_A","44.9181","36.1950","0","Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 10uF, X5R, 15%, 20%, 6.3V"
"C40","CAP 470pF 500V 1206(3216)","TopLayer","CAPC1206(3216)130_L","24.1300","53.9750","0","CAP 470pF 500V ±5% 1206 (3216 Metric) Thickness 1.3mm SMD"
"C39","GRM188R60J106ME47D","TopLayer","FP-GRM188-0_1-e0_2_0_55-IPC_A","25.8681","24.1300","180","Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 10uF, X5R, 15%, 20%, 6.3V"
"C38","C0805C105K4PACTU","TopLayer","CAPC2013X145X50LL20T25","19.0500","32.2580","180",""
"C37","GRM188R60J106ME47D","TopLayer","FP-GRM188-0_1-e0_2_0_55-IPC_A","18.5420","27.1780","180","Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 10uF, X5R, 15%, 20%, 6.3V"
"C36","C1206C104K1RACTU","TopLayer","FP-C1206C-EB-MFG","18.4150","58.4200","180","CAP CER 0.1UF 100V X7R 1206"
"C35","C1206C104K1RACTU","TopLayer","FP-C1206C-EB-MFG","23.6220","39.1160","180","CAP CER 0.1UF 100V X7R 1206"
"C34","CAP 470pF 500V 1206(3216)","TopLayer","CAPC1206(3216)130_L","18.4150","45.7200","0","CAP 470pF 500V ±5% 1206 (3216 Metric) Thickness 1.3mm SMD"
"C33","GRM188R60J106ME47D","TopLayer","FP-GRM188-0_1-e0_2_0_55-IPC_A","23.4950","44.4500","0","Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 10uF, X5R, 15%, 20%, 6.3V"
"C32","C0805C105K4PACTU","TopLayer","CAPC2013X145X50LL20T25","19.0500","42.6720","0",""
"C31","C0805C105K4PACTU","TopLayer","CAPC2013X145X50LL20T25","11.4300","40.6400","0",""
"C30","C1206C104K1RACTU","TopLayer","FP-C1206C-EB-MFG","3.8100","59.0550","315","CAP CER 0.1UF 100V X7R 1206"
"C29","C1206C104K1RACTU","TopLayer","FP-C1206C-EB-MFG","1.9304","72.9996","270","CAP CER 0.1UF 100V X7R 1206"
"C28","CGA3E2X7R1H104K080AA","TopLayer","FP-CGA3E-0_3-0_1-IPC_A","61.2050","14.2240","180","Cap Ceramic 100nF 50V X7R 10% Pad SMD 0603 +125°C Automotive T/R"
"C27","CGA3E2X7R1H104K080AA","TopLayer","FP-CGA3E-0_3-0_1-IPC_A","60.9600","8.6360","180","Cap Ceramic 100nF 50V X7R 10% Pad SMD 0603 +125°C Automotive T/R"
"C26","22uF","TopLayer","FP-GRM188-0_2-IPC_C","63.2460","23.4950","270","Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 22uF, X5R, 15%, 20%, 10V"
"C25","22uF","TopLayer","FP-GRM188-0_2-IPC_C","60.3250","23.4950","270","Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 22uF, X5R, 15%, 20%, 10V"
"C24","22uF","TopLayer","FP-GRM188-0_2-IPC_C","53.5940","33.2740","180","Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 22uF, X5R, 15%, 20%, 10V"
"C23","22uF","TopLayer","FP-GRM188-0_2-IPC_C","62.9920","43.6880","90","Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 22uF, X5R, 15%, 20%, 10V"
"C22","22uF","TopLayer","FP-GRM188-0_2-IPC_C","66.2940","23.6220","270","Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 22uF, X5R, 15%, 20%, 10V"
"C21","22uF","TopLayer","FP-GRM188-0_2-IPC_C","57.9120","23.4606","270","Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 22uF, X5R, 15%, 20%, 10V"
"C20","22uF","TopLayer","FP-GRM188-0_2-IPC_C","53.3744","35.5600","180","Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 22uF, X5R, 15%, 20%, 10V"
"C19","22uF","TopLayer","FP-GRM188-0_2-IPC_C","60.3250","44.4844","90","Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 22uF, X5R, 15%, 20%, 10V"
"C18","22uF","TopLayer","FP-GRM188-0_2-IPC_C","74.6760","29.9720","0","Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 22uF, X5R, 15%, 20%, 10V"
"C17","22uF","TopLayer","FP-GRM188-0_2-IPC_C","75.1840","33.2740","0","Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 22uF, X5R, 15%, 20%, 10V"
"C16","22uF","TopLayer","FP-GRM188-0_2-IPC_C","52.0700","16.4756","270","Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 22uF, X5R, 15%, 20%, 10V"
"C15","22uF","TopLayer","FP-GRM188-0_2-IPC_C","57.7850","13.3694","270","Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 22uF, X5R, 15%, 20%, 10V"
"C14","22uF","TopLayer","FP-GRM188-0_2-IPC_C","78.9940","35.3060","0","Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 22uF, X5R, 15%, 20%, 10V"
"C13","22uF","TopLayer","FP-GRM188-0_2-IPC_C","74.6760","27.4320","0","Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 22uF, X5R, 15%, 20%, 10V"
"C12","CGA3E2X7R1H104K080AA","TopLayer","FP-CGA3E-0_3-0_1-IPC_A","60.4520","49.7840","0","Cap Ceramic 100nF 50V X7R 10% Pad SMD 0603 +125°C Automotive T/R"
"C11","10uF","TopLayer","FP-GRM188-0_1-e0_2_0_55-IPC_A","32.6390","4.3180","180","Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 10uF, X5R, 15%, 20%, 6.3V"
"C10","C3216X7S2A225K160AB","TopLayer","FP-C3216-160-0_2-IPC_B","63.3730","72.0090","0","Multilayer Ceramic Capacitors 2.2uF ±10% 100V X7S SMD 1206"
"C9","C0805C105K4PACTU","TopLayer","CAPC2013X145X50LL20T25","52.4510","63.8810","0",""
"C8","GRM32ER61C476KE15L","TopLayer","FP-GRM32E-0_3-0_2-IPC_C","32.6538","10.1254","270","CAP CER 47UF 16V X5R 1210"
"C7","C2012X5R1V685K125AC","TopLayer","FP-C2012-125-0_2-IPC_B","16.2560","7.4909","270","Multilayer Ceramic Capacitors 6.8µF ±10% 35V X5R SMD 0805"
"C6","GQM2195C1H470JB01D","TopLayer","CAPC2013X100X45NL15T25","25.2340","10.1600","0",""
"C5","C0805C104M5RACTU","TopLayer","FP-C0805C-DN-MFG","18.3000","15.8750","180","CAP CER 0.1UF 50V X7R 0805"
"C4","CGA3E2X7R1H104K080AA","TopLayer","FP-CGA3E-0_3-0_1-IPC_A","79.6200","31.7500","0","Cap Ceramic 100nF 50V X7R 10% Pad SMD 0603 +125°C Automotive T/R"
"C3","C0603C271J5GACTU","TopLayer","FP-C0603C-CF-MFG","31.0800","57.7850","0","CAP CER 270PF 50V C0G/NP0 0603"
"C2","CC0603JRNPO9BN100","TopLayer","CAPC1608X90X40ML10T20","71.1200","68.3660","270","Chip Capacitor, 10 pF, +/- 5%, 50 V, -55 to 125 degC, 0603 (1608 Metric), RoHS, Tape and Reel"
"C1","CC0603JRNPO9BN100","TopLayer","CAPC1608X90X40ML10T20","67.3100","68.0167","270","Chip Capacitor, 10 pF, +/- 5%, 50 V, -55 to 125 degC, 0603 (1608 Metric), RoHS, Tape and Reel"
